Trail,Status,Difficulty
Allyn's Traverse,true,Intermediate
Jester,true,Intermediate
Lower Paradise,false,Advanced
Lower Ripcord,false,Advanced
Organgrinder,true,Advanced
Paradise,false,Expert
Paradise Extension,false,Advanced
Sigi's Ripcord,false,Expert
Spillsville,false,Advanced
Coffee Run,false,Easy
Gondolier,true,Easy
Birdland,false,Intermediate
Cat's Meow,false,Intermediate
Domino Chute,true,Intermediate
Downspout,true,Intermediate
Header,false,Intermediate
Heaven's Gate Traverse,true,Intermediate
Lower Domino,false,Intermediate
Lower Downspout,true,Intermediate
Lower Jester,true,Intermediate
Lower Moonshine,false,Intermediate
Lower Snowball,false,Intermediate
Moonshine,false,Intermediate
Murphy's Glades,true,Intermediate
Racer's Edge,false,Intermediate
Snowball,false,Intermediate
Spring Fling,false,Intermediate
Spring Road,false,Intermediate
Valley House Traverse,false,Intermediate
Domino,false,Advanced
Lixi's Twist,false,Advanced
Lower Birdland,false,Advanced
Lower Organgrinder,false,Advanced
Lower Twist,false,Advanced
The Mall,false,Advanced
Stein's Run,false,Expert
Bailout,false,Intermediate
Runout,false,Intermediate
Troll Road,false,Intermediate
Castlerock Run,false,Advanced
Cotillion,false,Advanced
Hi & Lo Road,false,Advanced
Lower Castlerock Run,false,Advanced
Lower Lift Line,false,Advanced
Middle Earth,false,Advanced
Lift Line,false,Expert
Rumble,false,Expert
Easy Rider,false,Easy
First Time,true,Easy
In Road,false,Easy
Lower Pushover,false,Easy
Out Road,false,Easy
Out to Lunch,false,Easy
Pushover,false,Easy
Sugarbear Forest,false,Easy
Sugarbear Road,false,Easy
Birch Run,false,Intermediate
Castlerock Connection,false,Intermediate
Hot Shot,false,Intermediate
Lower Hot Shot,false,Intermediate
Overshot,false,Intermediate
Pushover Chute,false,Intermediate
Second Thoughts,false,Intermediate
Sleeper,false,Intermediate
Sleeper Road,false,Intermediate
Slowpoke,false,Intermediate
Village Run,false,Intermediate
Morning Star,false,Advanced
Sleeper Chutes,false,Advanced
Sunrise,false,Advanced
Waterfall,false,Advanced
Crackerjack,false,Easy
Easy Does It,false,Easy
Graduation,false,Easy
Lower Crackerjack,false,Easy
Lower North Star,false,Easy
Mainstream,false,Easy
Northridge Expressway,false,Easy
North Star,false,Easy
Northway,false,Easy
Riemergasse,false,Easy
Snowflake,false,Easy
Straight Shot,false,Easy
Sugar Run,false,Easy
Cruiser,false,Intermediate
Elbow,false,Intermediate
Lookin' Good,false,Intermediate
Lower Elbow,false,Intermediate
Lower Rim Run,false,Intermediate
Panorama,false,Intermediate
Rim Run,false,Intermediate
Rob Roy,false,Intermediate
Upper Lookin' Good,false,Intermediate
Way Back,false,Intermediate
Which Way,false,Advanced
Bravo,false,Advanced
Encore,false,Advanced
Hammerhead,false,Advanced
Lower Exterminator,false,Advanced
Lower F.I.S.,false,Advanced
Southbound,false,Advanced
Spin Out,false,Advanced
The Cliffs,false,Advanced
Tumbler,false,Advanced
Black Diamond,false,Expert
Exterminator,false,Expert
F.I.S.,false,Expert
Walt's Trail,false,Easy
Brambles,false,Intermediate
Inverness,false,Intermediate
Semi-Tough,false,Intermediate
